5.1895 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
36.9033 	DATA 	Keypress: up
36.9145 	EXP 	fixation: autoDraw = False
36.9145 	EXP 	grating: autoDraw = False
36.9145 	EXP 	grating: ori = -4.0
36.9145 	EXP 	fixation: autoDraw = True
37.9151 	EXP 	fixation: autoDraw = False
37.9151 	EXP 	grating: autoDraw = True
38.2152 	EXP 	grating: autoDraw = False
38.4359 	EXP 	New trial (rep=10, index=0): None
38.4374 	DATA 	Keypress: down
38.4486 	EXP 	fixation: autoDraw = False
38.4486 	EXP 	grating: autoDraw = False
38.4486 	EXP 	grating: ori = 0.0
38.4486 	EXP 	fixation: autoDraw = True
39.4492 	EXP 	fixation: autoDraw = False
39.4492 	EXP 	grating: autoDraw = True
39.7491 	EXP 	grating: autoDraw = False
40.1199 	EXP 	New trial (rep=11, index=0): None
40.1222 	DATA 	Keypress: up
40.1327 	EXP 	fixation: autoDraw = False
40.1327 	EXP 	grating: autoDraw = False
40.1327 	EXP 	grating: ori = 0.0
40.1327 	EXP 	fixation: autoDraw = True
41.1326 	EXP 	fixation: autoDraw = False
41.1326 	EXP 	grating: autoDraw = True
41.4330 	EXP 	grating: autoDraw = False
41.5692 	EXP 	New trial (rep=12, index=0): None
41.5706 	DATA 	Keypress: down
41.5833 	EXP 	fixation: autoDraw = False
41.5833 	EXP 	grating: autoDraw = False
41.5833 	EXP 	grating: ori = -3.0
41.5833 	EXP 	fixation: autoDraw = True
42.5836 	EXP 	fixation: autoDraw = False
42.5836 	EXP 	grating: autoDraw = True
42.8836 	EXP 	grating: autoDraw = False
43.3029 	EXP 	New trial (rep=13, index=0): None
43.3043 	DATA 	Keypress: up
43.3170 	EXP 	fixation: autoDraw = False
43.3170 	EXP 	grating: autoDraw = False
43.3170 	EXP 	grating: ori = 0.0
43.3170 	EXP 	fixation: autoDraw = True
44.3176 	EXP 	fixation: autoDraw = False
44.3176 	EXP 	grating: autoDraw = True
44.6177 	EXP 	grating: autoDraw = False
44.9718 	EXP 	New trial (rep=14, index=0): None
44.9745 	DATA 	Keypress: up
44.9845 	EXP 	fixation: autoDraw = False
44.9845 	EXP 	grating: autoDraw = False
44.9845 	EXP 	grating: ori = 0.0
44.9845 	EXP 	fixation: autoDraw = True
45.9848 	EXP 	fixation: autoDraw = False
45.9848 	EXP 	grating: autoDraw = True
46.2851 	EXP 	grating: autoDraw = False
46.5868 	DATA 	Keypress: up
46.6042 	EXP 	New trial (rep=15, index=0): None
46.6182 	EXP 	fixation: autoDraw = False
46.6182 	EXP 	grating: autoDraw = False
46.6182 	EXP 	grating: ori = -5.0
46.6182 	EXP 	fixation: autoDraw = True
47.6188 	EXP 	fixation: autoDraw = False
47.6188 	EXP 	grating: autoDraw = True
47.9188 	EXP 	grating: autoDraw = False
48.2214 	EXP 	New trial (rep=16, index=0): None
48.2230 	DATA 	Keypress: down
48.2357 	EXP 	fixation: autoDraw = False
48.2357 	EXP 	grating: autoDraw = False
48.2357 	EXP 	grating: ori = 2.0
48.2357 	EXP 	fixation: autoDraw = True
49.2362 	EXP 	fixation: autoDraw = False
49.2362 	EXP 	grating: autoDraw = True
49.5363 	EXP 	grating: autoDraw = False
50.1389 	EXP 	New trial (rep=17, index=0): None
50.1408 	DATA 	Keypress: up
50.1533 	EXP 	fixation: autoDraw = False
50.1533 	EXP 	grating: autoDraw = False
50.1533 	EXP 	grating: ori = 0.0
50.1533 	EXP 	fixation: autoDraw = True
51.1536 	EXP 	fixation: autoDraw = False
51.1536 	EXP 	grating: autoDraw = True
51.4537 	EXP 	grating: autoDraw = False
51.7568 	EXP 	New trial (rep=18, index=0): None
51.7588 	DATA 	Keypress: up
51.7704 	EXP 	fixation: autoDraw = False
51.7704 	EXP 	grating: autoDraw = False
51.7704 	EXP 	grating: ori = -2.0
51.7704 	EXP 	fixation: autoDraw = True
52.7708 	EXP 	fixation: autoDraw = False
52.7708 	EXP 	grating: autoDraw = True
53.0707 	EXP 	grating: autoDraw = False
53.2563 	EXP 	New trial (rep=19, index=0): None
53.2579 	DATA 	Keypress: down
53.2709 	EXP 	fixation: autoDraw = False
53.2709 	EXP 	grating: autoDraw = False
53.2709 	EXP 	grating: ori = 0.0
53.2709 	EXP 	fixation: autoDraw = True
54.2714 	EXP 	fixation: autoDraw = False
54.2714 	EXP 	grating: autoDraw = True
54.5714 	EXP 	grating: autoDraw = False
54.8071 	EXP 	New trial (rep=20, index=0): None
54.8092 	DATA 	Keypress: up
54.8214 	EXP 	fixation: autoDraw = False
54.8214 	EXP 	grating: autoDraw = False
54.8214 	EXP 	grating: ori = 0.0
54.8214 	EXP 	fixation: autoDraw = True
55.8221 	EXP 	fixation: autoDraw = False
55.8221 	EXP 	grating: autoDraw = True
56.1220 	EXP 	grating: autoDraw = False
56.3744 	EXP 	New trial (rep=21, index=0): None
56.3760 	DATA 	Keypress: up
56.3888 	EXP 	fixation: autoDraw = False
56.3888 	EXP 	grating: autoDraw = False
56.3888 	EXP 	grating: ori = 0.0
56.3888 	EXP 	fixation: autoDraw = True
57.3893 	EXP 	fixation: autoDraw = False
57.3893 	EXP 	grating: autoDraw = True
57.6893 	EXP 	grating: autoDraw = False
57.9598 	EXP 	New trial (rep=22, index=0): None
57.9619 	DATA 	Keypress: up
57.9727 	EXP 	fixation: autoDraw = False
57.9727 	EXP 	grating: autoDraw = False
57.9727 	EXP 	grating: ori = 0.0
57.9727 	EXP 	fixation: autoDraw = True
58.9733 	EXP 	fixation: autoDraw = False
58.9733 	EXP 	grating: autoDraw = True
59.2732 	EXP 	grating: autoDraw = False
59.5103 	EXP 	New trial (rep=23, index=0): None
59.5124 	DATA 	Keypress: up
59.5232 	EXP 	fixation: autoDraw = False
59.5232 	EXP 	grating: autoDraw = False
59.5232 	EXP 	grating: ori = 1.0
59.5232 	EXP 	fixation: autoDraw = True
60.5238 	EXP 	fixation: autoDraw = False
60.5238 	EXP 	grating: autoDraw = True
60.8238 	EXP 	grating: autoDraw = False
61.0948 	EXP 	New trial (rep=24, index=0): None
61.0972 	DATA 	Keypress: up
61.1072 	EXP 	fixation: autoDraw = False
61.1072 	EXP 	grating: autoDraw = False
61.1072 	EXP 	grating: ori = -2.0
61.1072 	EXP 	fixation: autoDraw = True
62.1080 	EXP 	fixation: autoDraw = False
62.1080 	EXP 	grating: autoDraw = True
62.4075 	EXP 	grating: autoDraw = False
62.6950 	EXP 	New trial (rep=25, index=0): None
62.6973 	DATA 	Keypress: down
62.7079 	EXP 	fixation: autoDraw = False
